2019/08/28 11:24:20.447 o.s.w.s.m.m.a.RequestMappingHandlerMapping [] INFO  Mapped "{[/login],methods=[POST]}" onto public java.lang.String com.springboot.test.shiro.modules.login.LoginController.loginUser(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String,boolean,java.lang.String,org.springframework.ui.Model)
2019/08/28 11:24:20.451 o.s.w.s.m.m.a.RequestMappingHandlerMapping [] INFO  Mapped "{[/userInfo/view],methods=[GET]}" onto public java.lang.String com.springboot.test.shiro.modules.login.UserController.view(org.springframework.ui.Model)
2019/08/28 11:24:20.451 o.s.w.s.m.m.a.RequestMappingHandlerMapping [] INFO  Mapped "{[/userInfo/add],methods=[GET]}" onto public java.lang.String com.springboot.test.shiro.modules.login.UserController.login(org.springframework.ui.Model)
2019/08/28 11:24:20.451 o.s.w.s.m.m.a.RequestMappingHandlerMapping [] INFO  Mapped "{[/userInfo/delPermission],methods=[GET]}" onto public java.lang.String com.springboot.test.shiro.modules.login.UserController.delPermission(org.springframework.ui.Model)
2019/08/28 11:24:20.452 o.s.w.s.m.m.a.RequestMappingHandlerMapping [] INFO  Mapped "{[/userInfo/addPermission],methods=[GET]}" onto public java.lang.String com.springboot.test.shiro.modules.login.UserController.addPermission(org.springframework.ui.Model)
2019/08/28 11:24:20.452 o.s.w.s.m.m.a.RequestMappingHandlerMapping [] INFO  Mapped "{[/userInfo/del],methods=[GET]}" onto public java.lang.String com.springboot.test.shiro.modules.login.UserController.del(org.springframework.ui.Model)
2019/08/28 11:24:20.455 o.s.w.s.m.m.a.RequestMappingHandlerMapping [] INFO  Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2019/08/28 11:24:20.455 o.s.w.s.m.m.a.RequestMappingHandlerMapping [] INFO  Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2019/08/28 11:24:20.664 o.s.w.s.h.SimpleUrlHandlerMapping [] INFO  Mapped URL path [/static/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019/08/28 11:24:20.664 o.s.w.s.h.SimpleUrlHandlerMapping [] INFO  Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019/08/28 11:24:20.664 o.s.w.s.h.SimpleUrlHandlerMapping [] INFO  Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019/08/28 11:24:20.858 o.s.w.s.h.SimpleUrlHandlerMapping [] INFO  Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019/08/28 11:24:22.318 o.s.j.e.a.AnnotationMBeanExporter [] INFO  Registering beans for JMX exposure on startup
2019/08/28 11:24:22.319 o.s.j.e.a.AnnotationMBeanExporter [] INFO  Bean with name 'dataSource' has been autodetected for JMX exposure
